id,reaction,rheaID,reducing_agent,substrates,products,participants,chebis
A0A075TMP8,3-hydroxybenzyl alcohol + O2 + reduced [NADPH--hemoprotein reductase] = gentisyl alcohol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:62212,reduced [NADPH--hemoprotein reductase],['3-hydroxybenzyl alcohol'],['gentisyl alcohol'],"['3-hydroxybenzyl alcohol', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'gentisyl alcohol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:5325', 'CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:17069', 'CHEBI:57618', 'CHEBI:58210']"
A0A075TRL5,3-methylphenol + O2 + reduced [NADPH--hemoprotein reductase] = 3-hydroxybenzyl alcohol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:62208,reduced [NADPH--hemoprotein reductase],['3-methylphenol'],['3-hydroxybenzyl alcohol'],"['3-methylphenol', 'O2', 'reduced [NADPH--hemoprotein reductase]', '3-hydroxybenzyl alcohol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:17069', 'CHEBI:17231', 'CHEBI:57618', 'CHEBI:58210']"
A0A087X1C5,an organic molecule + O2 + reduced [NADPH--hemoprotein reductase] = an alcohol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:17149,reduced [NADPH--hemoprotein reductase],['an organic molecule'],['an alcohol'],"['an organic molecule', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'an alcohol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:30879', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:142491']"
A0A0C5Q4Y6,"abieta-8,11,13-triene + O2 + reduced [NADPH--hemoprotein reductase] = ferruginol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:48080,reduced [NADPH--hemoprotein reductase],"['abieta-8,11,13-triene']",['ferruginol'],"['abieta-8,11,13-triene', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'ferruginol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:78274', 'CHEBI:86062']"
A0A0C5Q4Y6,ferruginol + O2 + reduced [NADPH--hemoprotein reductase] = 11-hydroxyferruginol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:55428,reduced [NADPH--hemoprotein reductase],['ferruginol'],['11-hydroxyferruginol'],"['ferruginol', 'O2', 'reduced [NADPH--hemoprotein reductase]', '11-hydroxyferruginol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:78274', 'CHEBI:138942']"
A0A0C5Q4Y6,miltiradiene + 2 O2 + 2 reduced [NADPH--hemoprotein reductase] = 11-oxomiltiradiene + 2 H(+) + 3 H2O + 2 oxidized [NADPH--hemoprotein reductase],RHEA:66796,2 reduced [NADPH--hemoprotein reductase],['miltiradiene'],['11-oxomiltiradiene'],"['miltiradiene', '2 O2', '2 reduced [NADPH--hemoprotein reductase]', '11-oxomiltiradiene', '2 H(+)', '3 H2O', '2 oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:65037', 'CHEBI:167496']"
A0A0C5QRZ2,"abieta-8,11,13-triene + O2 + reduced [NADPH--hemoprotein reductase] = ferruginol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:48080,reduced [NADPH--hemoprotein reductase],"['abieta-8,11,13-triene']",['ferruginol'],"['abieta-8,11,13-triene', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'ferruginol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:78274', 'CHEBI:86062']"
A0A0C5QRZ2,ferruginol + O2 + reduced [NADPH--hemoprotein reductase] = 11-hydroxyferruginol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:55428,reduced [NADPH--hemoprotein reductase],['ferruginol'],['11-hydroxyferruginol'],"['ferruginol', 'O2', 'reduced [NADPH--hemoprotein reductase]', '11-hydroxyferruginol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:78274', 'CHEBI:138942']"
A0A0C5QRZ2,miltiradiene + 2 O2 + 2 reduced [NADPH--hemoprotein reductase] = 11-oxomiltiradiene + 2 H(+) + 3 H2O + 2 oxidized [NADPH--hemoprotein reductase],RHEA:66796,2 reduced [NADPH--hemoprotein reductase],['miltiradiene'],['11-oxomiltiradiene'],"['miltiradiene', '2 O2', '2 reduced [NADPH--hemoprotein reductase]', '11-oxomiltiradiene', '2 H(+)', '3 H2O', '2 oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:65037', 'CHEBI:167496']"
A0A1D6HSP4,"(6E,10E)-geranyllinalool + O2 + reduced [NADPH--hemoprotein reductase] = (3E,7E)-4,8,12-trimethyltrideca 1,3,7,11-tetraene + but-3-en-2-one + H(+) + 2 H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:13545,reduced [NADPH--hemoprotein reductase],"['(6E,10E)-geranyllinalool']","['(3E,7E)-4,8,12-trimethyltrideca 1,3,7,11-tetraene', 'but-3-en-2-one']","['(6E,10E)-geranyllinalool', 'O2', 'reduced [NADPH--hemoprotein reductase]', '(3E,7E)-4,8,12-trimethyltrideca 1,3,7,11-tetraene', 'but-3-en-2-one', 'H(+)', '2 H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:48058', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:74299', 'CHEBI:74322']"
